Date,Open,High,Low,Close,AdjustedClose,Volume
1980-03-18,26.501,28.503,26.501,26.501,26.501,200
1980-03-19,25.002,27,25.002,25.002,25.002,100
1980-03-20,24.503,26.501,24.503,24.503,24.503,900
1980-03-21,24.503,26.501,24.503,24.503,24.503,100
1980-03-24,24.003,26.001,24.003,24.003,24.003,200
1980-03-27,24.003,26.001,24.003,24.003,24.003,1500
1980-03-28,24.003,26.001,24.003,24.003,24.003,200
1980-03-31,24.003,26.001,24.003,24.003,24.003,1000
1980-04-01,24.003,26.001,24.003,24.003,24.003,500
1980-04-02,24.003,26.001,24.003,24.003,24.003,600
1980-04-03,24.003,26.001,24.003,24.003,24.003,100
1980-04-07,24.003,26.001,24.003,24.003,24.003,100
1980-04-08,24.003,26.001,24.003,24.003,24.003,200
1980-04-11,24.003,26.001,24.003,24.003,24.003,1400
1980-04-14,24.003,26.001,24.003,24.003,24.003,300
1980-04-16,24.003,26.001,24.003,24.003,24.003,1300
1980-04-17,22.001,24.003,22.001,22.001,22.001,600
1980-04-21,21.501,23.504,21.501,21.501,21.501,500
1980-04-23,21.501,23.504,21.501,21.501,21.501,100
1980-04-24,22.001,24.003,22.001,22.001,22.001,300
1980-04-29,22.001,24.003,22.001,22.001,22.001,100
1980-04-30,22.001,24.003,22.001,22.001,22.001,200
1980-05-06,22.001,24.003,22.001,22.001,22.001,100
1980-05-07,22.001,24.003,22.001,22.001,22.001,600
1980-05-08,22.5,24.503,22.5,22.5,22.5,500
1980-05-09,22.001,24.003,22.001,22.001,22.001,1600
1980-05-13,22.001,24.003,22.001,22.001,22.001,100
1980-05-19,22.001,24.003,22.001,22.001,22.001,700
1980-05-20,22.001,24.003,22.001,22.001,22.001,300
1980-05-22,22.001,24.003,22.001,22.001,22.001,4200
1980-05-23,22.001,24.003,22.001,22.001,22.001,400
1980-05-27,22.001,24.003,22.001,22.001,22.001,300
1980-05-28,22.001,24.003,22.001,22.001,22.001,400
1980-05-29,22.001,24.003,22.001,22.001,22.001,200
1980-05-30,22.001,24.003,22.001,22.001,22.001,100
1980-06-03,22.001,24.003,22.001,22.001,22.001,800
1980-06-04,22.001,24.003,22.001,22.001,22.001,4000
1980-06-06,22.001,24.003,22.001,22.001,22.001,1300
1980-06-09,22.001,24.003,22.001,22.001,22.001,200
1980-06-11,22.001,24.003,22.001,22.001,22.001,500
1980-06-12,22.001,24.003,22.001,22.001,22.001,300
1980-06-13,22.001,24.003,22.001,22.001,22.001,1100
1980-06-16,22.001,24.003,22.001,22.001,22.001,500
1980-06-17,22.001,24.003,22.001,22.001,22.001,700
1980-06-20,22.001,24.003,22.001,22.001,22.001,1600
1980-06-23,22.5,24.503,22.5,22.5,22.5,800
1980-06-24,22.5,24.503,22.5,22.5,22.5,500
1980-06-25,22.5,24.503,22.5,22.5,22.5,100
1980-06-26,22.5,24.503,22.5,22.5,22.5,100
1980-06-27,22.5,24.503,22.5,22.5,22.5,400
1980-07-01,22.5,24.503,22.5,22.5,22.5,2400
1980-07-02,22.5,24.503,22.5,22.5,22.5,300
1980-07-03,22.5,24.503,22.5,22.5,22.5,600
1980-07-07,22.5,24.003,22.5,22.5,22.5,300
1980-07-09,22.5,24.003,22.5,22.5,22.5,400
1980-07-10,22.5,24.003,22.5,22.5,22.5,1200
1980-07-11,22.5,24.003,22.5,22.5,22.5,4000
1980-07-16,22.5,24.003,22.5,22.5,22.5,2100
1980-07-17,22.5,24.003,22.5,22.5,22.5,200
1980-07-18,22.5,24.003,22.5,22.5,22.5,3100
1980-07-21,22.5,24.003,22.5,22.5,22.5,200
1980-07-22,23,24.003,23,23,23,2200
1980-07-23,23,24.003,23,23,23,1200
1980-07-24,23,24.503,23,23,23,1300
1980-07-28,23,24.503,23,23,23,200
1980-07-29,23,24.503,23,23,23,500
1980-07-30,23,24.503,23,23,23,2300
1980-07-31,23,24.503,23,23,23,1000
1980-08-01,23,24.503,23,23,23,1200
1980-08-04,23,24.503,23,23,23,300
1980-08-05,23,24.503,23,23,23,400
1980-08-06,23,24.503,23,23,23,200
1980-08-07,23,24.503,23,23,23,200
1980-08-08,23,24.503,23,23,23,1000
1980-08-14,23,24.503,23,23,23,100
1980-08-18,23,24.503,23,23,23,800
1980-08-19,23,24.503,23,23,23,1500
1980-08-20,23.504,24.503,23.504,23.504,23.504,3200
1980-08-21,23.504,24.503,23.504,23.504,23.504,4600
1980-08-22,26.001,27.5,26.001,26.001,26.001,10100
1980-08-25,28.503,30.002,28.503,28.503,28.503,7400
1980-08-26,30.002,31.001,30.002,30.002,30.002,6500
1980-08-27,29.003,30.002,29.003,29.003,29.003,6100
1980-08-28,27.5,29.003,27.5,27.5,27.5,1800
1980-08-29,27,28.503,27,27,27,300
1980-09-02,27.5,29.003,27.5,27.5,27.5,100
1980-09-03,29.003,30.002,29.003,29.003,29.003,1500
1980-09-04,29.003,30.002,29.003,29.003,29.003,3500
1980-09-05,29.003,30.002,29.003,29.003,29.003,3600
1980-09-08,29.003,30.002,29.003,29.003,29.003,4200
1980-09-09,28.503,30.002,28.503,28.503,28.503,6000
1980-09-10,28.503,30.002,28.503,28.503,28.503,7100
1980-09-11,29.003,31.001,29.003,29.003,29.003,700
1980-09-12,30.501,32,30.501,30.501,30.501,5500
1980-09-15,30.501,32,30.501,30.501,30.501,5600
1980-09-16,31.5,33.003,31.5,31.5,31.5,14200
1980-09-17,35.001,36.5,35.001,35.001,35.001,26700
1980-09-18,35.501,37.004,35.501,35.501,35.501,27700
1980-09-19,35.501,37.004,35.501,35.501,35.501,17400
1980-09-22,36,37.004,36,36,36,13000
1980-09-23,36,37.004,36,36,36,19000
1980-09-24,36,37.004,36,36,36,16500
1980-09-25,36,37.004,36,36,36,4600
1980-09-26,36,37.004,36,36,36,8000
1980-09-29,35.501,36.5,35.501,35.501,35.501,6100
1980-09-30,35.001,36.5,35.001,35.001,35.001,5400
1980-10-01,35.501,36.5,35.501,35.501,35.501,1600
1980-10-02,36,37.004,36,36,36,1900
1980-10-03,36.5,38.003,36.5,36.5,36.5,6000
1980-10-06,37.503,38.25,37.503,37.503,37.503,8600
1980-10-07,38.003,39.501,38.003,38.003,38.003,5900
1980-10-08,38.003,39.501,38.003,38.003,38.003,1600
