Date,Open,High,Low,Close,AdjustedClose,Volume
1996-08-15,13.5,13.5,12.4375,12.5,12.5,2613500
1996-08-16,13,13,12.625,12.75,12.75,253700
1996-08-19,12.75,13,12.75,12.75,12.75,71000
1996-08-20,12.75,13,12.75,13,13,134300
1996-08-21,13,13.75,12.875,13.25,13.25,176500
1996-08-22,14,14.375,13.25,14.125,14.125,259600
1996-08-23,14.125,14.5,13.875,14,14,267900
1996-08-26,14.5,14.5,13.625,13.75,13.75,259200
1996-08-27,13.75,14.125,13.25,13.5,13.5,69100
1996-08-28,13.5,13.75,13.125,13.125,13.125,32800
1996-08-29,13,13.5,13,13.125,13.125,50800
1996-08-30,13.125,13.375,13.125,13.125,13.125,23900
1996-09-03,13.125,13.375,13,13.125,13.125,13900
1996-09-04,12.75,13.25,12.625,12.625,12.625,27700
1996-09-05,12.625,12.875,11.5,11.75,11.75,111900
1996-09-06,11.75,12.625,11.75,12.625,12.625,95500
1996-09-09,13,13,12.5,12.5,12.5,20400
1996-09-10,12.5,12.5,11.75,11.875,11.875,29300
1996-09-11,11.75,12,11.75,12,12,6100
1996-09-12,12,12.25,9.25,11.25,11.25,384000
1996-09-13,11.25,11.75,11.25,11.75,11.75,46300
1996-09-16,11.75,11.75,11.25,11.75,11.75,94400
1996-09-17,11.25,11.625,11.25,11.25,11.25,23800
1996-09-18,11.75,11.75,11.25,11.5,11.5,106600
1996-09-19,11.6875,11.75,11.25,11.6875,11.6875,39900
1996-09-20,11.75,11.75,11.25,11.75,11.75,13000
1996-09-23,11.25,11.75,11.25,11.25,11.25,8500
1996-09-24,12.1875,13,12.1875,12.875,12.875,124900
1996-09-25,13,14.5,12.5,13.875,13.875,440200
1996-09-26,13.75,14.75,13.75,14.25,14.25,93900
1996-09-27,14.875,16.25,14.25,15.25,15.25,272200
1996-09-30,14.75,15.25,14.5,14.5,14.5,202100
1996-10-01,14.5,15.25,14.5,14.5,14.5,29000
1996-10-02,14.625,15.25,14.5,14.5,14.5,59000
1996-10-03,14.5,15.25,14.5,14.625,14.625,52100
1996-10-04,14.5,15,14.5,14.5,14.5,133500
1996-10-07,14.5,15.5,14.5,15,15,74100
1996-10-08,14.8125,15.25,14.75,14.75,14.75,84400
