Date,Open,High,Low,Close,AdjustedClose,Volume
2019-09-26,15.7,16.5,15.24,16.17,16.17,1723655
2019-09-27,16.25,16.88,15.8,16.26,16.26,322325
2019-09-30,16.32,16.8216,15.95,16.22,16.22,161294
2019-10-01,16.2,16.49,15.5,15.58,15.58,254645
2019-10-02,15.5,15.8,14.22,15.4,15.4,429053
2019-10-03,15.41,15.63,14.26,14.42,14.42,415192
2019-10-04,14.36,15.13,14.3,15,15,543304
2019-10-07,14.89,15.97,14.7764,15.41,15.41,135973
2019-10-08,15.29,15.5,15.001,15.23,15.23,159280
2019-10-09,15.17,15.835,15.0939,15.55,15.55,77770
2019-10-10,15.46,16.03,15.46,15.68,15.68,8440
2019-10-11,15.56,15.925,15.51,15.56,15.56,7006
2019-10-14,15.58,15.751,15.31,15.58,15.58,30770
2019-10-15,15.44,16.1,15.11,15.63,15.63,85095
2019-10-16,15.83,17,15.83,15.91,15.91,102065
2019-10-17,15.87,16.19,15.81,16.1,16.1,20332
2019-10-18,16.02,16.29,15.39,15.86,15.86,22964
2019-10-21,16,16.58,15.76,15.99,15.99,98805
2019-10-22,16.03,16.28,15.9,16.25,16.25,76216
2019-10-23,16.34,16.34,15.246,16.16,16.16,32796
2019-10-24,16.24,16.945,15.76,16.38,16.38,119826
2019-10-25,16.4,18.04,16,16.99,16.99,126981
2019-10-28,16.92,18,16.65,16.65,16.65,103344
2019-10-29,16.72,16.8942,16.2,16.2,16.2,68579
2019-10-30,16.21,16.99,16,16.3,16.3,30949
2019-10-31,16.43,16.69,16,16.12,16.12,56437
2019-11-01,16.09,16.46,16.05,16.25,16.25,44039
2019-11-04,16.41,16.865,16.2,16.41,16.41,63803
2019-11-05,16.54,16.665,16.2,16.23,16.23,76048
2019-11-06,16.43,16.695,16.01,16.15,16.15,59882
2019-11-07,16.24,17.86,16.105,17,17,149747
2019-11-08,16.99,17.52,16.7,17.16,17.16,92860
2019-11-11,17.1,18.38,17,18.28,18.28,196438
2019-11-12,18.28,18.9159,18,18.51,18.51,82724
2019-11-13,19.49,19.86,18.57,19.84,19.84,114023
2019-11-14,19.84,19.9,19.31,19.33,19.33,88533
2019-11-15,19.45,19.87,19.325,19.69,19.69,93137
2019-11-18,19.69,19.98,18.965,19.22,19.22,76125
2019-11-19,19.3,20.465,19.12,20.11,20.11,93451
2019-11-20,20.08,20.29,18.61,18.91,18.91,106413
2019-11-21,18.75,19.03,17.89,18.1,18.1,96739
2019-11-22,18.14,18.78,17.54,18.34,18.34,110844
2019-11-25,18.33,18.97,18.12,18.7,18.7,111681
2019-11-26,18.75,18.99,18.02,18.76,18.76,133723
2019-11-27,18.77,19.33,18.28,19.06,19.06,77113
2019-11-29,19.03,21.31,19.03,21.19,21.19,42036
2019-12-02,21.68,21.77,20.45,20.9,20.9,94709
2019-12-03,20.82,21.42,19.82,19.89,19.89,82649
2019-12-04,20.05,20.27,19.28,20.06,20.06,88199
2019-12-05,20.11,20.3,19.43,20.15,20.15,65722
2019-12-06,20.3,20.96,19.5,20.26,20.26,243702
2019-12-09,20.27,20.62,19.985,20.4,20.4,102238
2019-12-10,20.28,20.49,19.83,20.08,20.08,123742
2019-12-11,20.23,20.89,19.99,19.99,19.99,59401
2019-12-12,19.99,20.29,19.33,19.44,19.44,113988
2019-12-13,19.43,20.01,19.43,19.99,19.99,122675
2019-12-16,20.11,20.925,19.75,20.25,20.25,109341
2019-12-17,20.31,21.3,20.24,21.02,21.02,71619
2019-12-18,21.24,21.95,21.11,21.39,21.39,119453
2019-12-19,21.83,22.67,21.33,21.93,21.93,96692
2019-12-20,22.09,22.1,20.72,21.01,21.01,1241787
2019-12-23,21.72,22.5,21.39,22.45,22.45,93650
2019-12-24,22.41,23.99,22.41,23.71,23.71,25457
2019-12-26,23.66,25.27,22.9001,24.75,24.75,53303
2019-12-27,24.75,25.84,23.14,23.34,23.34,89677
2019-12-30,23.33,24.18,22.7,23.88,23.88,71694
2019-12-31,23.89,24.5,23.26,23.8,23.8,84717
2020-01-02,24.2,24.28,23.1061,23.63,23.63,66637
2020-01-03,23.62,23.835,23.06,23.47,23.47,135744
2020-01-06,23.57,23.77,23.24,23.51,23.51,86444
2020-01-07,23.39,23.65,23.13,23.33,23.33,68148
2020-01-08,23.69,23.77,22.99,23.09,23.09,76993
2020-01-09,23.57,23.57,22.53,22.91,22.91,46388
