Date,Open,High,Low,Close,AdjustedClose,Volume
2019-10-01,6.15,18.8,6.15,15.09,15.09,245298
2019-10-02,14.63,17.88,14,16.66,16.66,410061
2019-10-03,15.25,16.99,14.46,15.35,15.35,558722
2019-10-04,15.11,16.54,14.62,16,16,752164
2019-10-07,15.94,19.255,15.84,17.81,17.81,721543
2019-10-08,17.45,19.16,17.29,18.63,18.63,666289
2019-10-09,18.63,21.83,18.63,20.62,20.62,571990
2019-10-10,20.72,21.49,19.65,19.9,19.9,615499
2019-10-11,19.98,20.57,18.8,18.97,18.97,390176
2019-10-14,18.81,19.825,17.4724,18.18,18.18,387122
2019-10-15,18.08,18.93,17.555,18.4,18.4,281655
2019-10-16,18.3,19.2,18.035,18.48,18.48,245069
2019-10-17,18.58,18.81,18.12,18.27,18.27,303837
2019-10-18,18.16,18.99,18,18.21,18.21,292027
2019-10-21,18.41,18.58,18.03,18.41,18.41,240384
2019-10-22,18.18,18.4,17.33,18.05,18.05,587036
2019-10-23,17.87,19.98,17.32,19.48,19.48,194089
2019-10-24,19.58,20.56,19.05,19.18,19.18,133622
2019-10-25,19.17,20.25,17.8306,18.19,18.19,209756
2019-10-28,18.09,19.161,17.955,18.09,18.09,112846
2019-10-29,17.86,18.99,17.86,18.94,18.94,112494
2019-10-30,18.51,19.09,18.09,18.67,18.67,47429
2019-10-31,18.65,18.78,17.32,17.99,17.99,523563
2019-11-01,17.97,20.11,17.97,20.07,20.07,191413
2019-11-04,20.04,20.19,18.28,20.08,20.08,77576
2019-11-05,20.12,20.9,19.61,20.06,20.06,261470
2019-11-06,20.05,21.16,19.51,19.72,19.72,156808
2019-11-07,19.8,20.385,19.11,19.19,19.19,159590
2019-11-08,18.91,19.63,18.57,18.67,18.67,105155
2019-11-11,18.53,19.29,18.1,18.2,18.2,130364
2019-11-12,18.2,19.5478,17.31,17.72,17.72,168553
2019-11-13,18.03,18.7497,15.51,16.28,16.28,244439
2019-11-14,16.03,18.6,15.76,18.54,18.54,180223
2019-11-15,18.66,19.59,17.92,19.47,19.47,87625
2019-11-18,19.45,22.34,18.5,21.56,21.56,154736
2019-11-19,21.75,23.84,21.256,23.08,23.08,132590
2019-11-20,23,25,22.8056,24.72,24.72,141603
2019-11-21,24.9,26.75,24.05,24.41,24.41,226307
2019-11-22,24.51,24.51,22.11,22.94,22.94,90274
2019-11-25,22.88,25.1525,22.31,24.46,24.46,104278
2019-11-26,24.45,25.42,22.22,22.71,22.71,148370
2019-11-27,22.83,23.55,22.09,22.76,22.76,74174
2019-11-29,22.7,23.68,22.1684,23.42,23.42,36593
2019-12-02,23.48,23.755,22.62,23.07,23.07,133662
2019-12-03,23.1,24.81,23,24.58,24.58,119585
2019-12-04,24.65,25.445,24.0364,25,25,157737
2019-12-05,25,25.42,24.72,25,25,153730
2019-12-06,25.13,26.25,24.8,26.19,26.19,196026
2019-12-09,25.74,26.75,25.3,26.43,26.43,181450
2019-12-10,26.5,28.21,26.06,28.14,28.14,131400
2019-12-11,28.02,29.61,26.9,29.26,29.26,164854
2019-12-12,29.5,31.4955,29.18,30.655,30.655,242491
2019-12-13,30.6,31.24,29.08,29.41,29.41,170008
2019-12-16,29.62,32.34,29.55,29.83,29.83,269445
2019-12-17,29.57,31.33,29.18,31.07,31.07,270078
2019-12-18,31.11,32.35,30.6453,32.17,32.17,261005
2019-12-19,32.5,33.73,32.5,33.12,33.12,330257
2019-12-20,33.17,35.57,32.7,34.92,34.92,945761
2019-12-23,34.81,35.41,34.16,34.49,34.49,132780
2019-12-24,34.76,35.99,34.02,34.59,34.59,84054
2019-12-26,34.5,35.7472,34.4666,34.78,34.78,69237
2019-12-27,34.81,34.87,28.76,32.18,32.18,272486
2019-12-30,32.15,32.15,29.83,31.69,31.69,153684
2019-12-31,31.61,33.21,31,33.07,33.07,113433
2020-01-02,33.02,33.135,31.47,32.16,32.16,184334
2020-01-03,31.64,32.71,31.37,32.315,32.315,166123
2020-01-06,31.7,32.58,31.7,31.99,31.99,128130
2020-01-07,31.88,32.4058,31.73,31.91,31.91,74786
2020-01-08,31.89,32.22,31.375,31.52,31.52,61326
2020-01-09,31.72,31.8,29.85,30.24,30.24,86056
2020-01-10,30.18,30.3,29.49,29.62,29.62,101012
2020-01-13,29.57,30,27.51,28.34,28.34,152532
2020-01-14,28.13,28.24,26.66,26.95,26.95,175876
2020-01-15,25.74,27.91,25.1701,27.45,27.45,122471
2020-01-16,27.32,28.24,26.89,27.34,27.34,107017
2020-01-17,27.36,27.63,26.89,27.13,27.13,126229
2020-01-21,26.77,27.22,26.57,27.11,27.11,90229
2020-01-22,27.16,27.82,26.18,27.33,27.33,264356
2020-01-23,27.33,29.25,27.33,28.98,28.98,171930
2020-01-24,28.71,28.98,26.15,26.97,26.97,116291
2020-01-27,26.56,27.19,26.3,26.96,26.96,93964
2020-01-28,27.07,27.2775,26.56,26.68,26.68,94625
2020-01-29,26.48,26.6,25.0604,25.36,25.36,71006
2020-01-30,25.05,27.105,24.09,26.61,26.61,195702
2020-01-31,26.31,27.24,26.08,26.4,26.4,162090
2020-02-03,26.79,26.885,25.61,26.2,26.2,101269
2020-02-04,26.56,28.85,26.56,28.2,28.2,150832
