Date,Open,High,Low,Close,AdjustedClose,Volume
2020-12-21,19.83,19.87,19.6,19.809,19.809,410300
2020-12-22,19.96,19.96,19.762,19.89,19.89,374300
2020-12-23,20.03,20.03,19.84,19.84,19.84,102900
2020-12-24,19.84,19.905,19.84,19.9,19.9,71300
2020-12-28,19.99,20.045,19.95,20.027,20.027,18700
2020-12-29,20.05,20.11,20.019,20.038,20.038,158700
2020-12-30,20.08,20.09,19.96,20.06,20.06,97500
2020-12-31,20.05,20.08,19.96,20.08,20.08,81800
2021-01-04,20.06,20.08,19.7,19.89,19.89,64900
2021-01-05,19.866,19.97,19.81,19.935,19.935,383200
2021-01-06,19.82,20.02,19.79,19.795,19.795,82300
2021-01-07,19.94,20.15,19.92,20.13,20.13,223600
2021-01-08,20.2,20.3,20.12,20.18,20.18,218500
2021-01-11,20.15,20.19,20.08,20.09,20.09,87100
2021-01-12,20.12,20.14,19.96,20.071,20.071,42800
2021-01-13,20.16,20.19,20.071,20.18,20.18,68300
2021-01-14,20.128,20.21,20.09,20.113,20.113,25600
2021-01-15,20.12,20.12,19.897,20.02,20.02,49900
2021-01-19,20.14,20.22,20.05,20.149,20.149,67300
2021-01-20,20.36,20.46,20.271,20.393,20.393,236000
2021-01-21,20.42,20.51,20.415,20.448,20.448,32500
2021-01-22,20.4,20.46,20.32,20.389,20.389,72700
2021-01-25,20.52,21.06,20.34,20.445,20.445,38600
2021-01-26,20.53,21.56,20.4,20.5,20.5,80900
2021-01-27,20.38,20.39,20,20.11,20.11,98300
2021-01-28,20.19,20.35,20.13,20.191,20.191,42800
2021-01-29,20.24,20.24,19.83,19.99,19.99,204400
2021-02-01,20.21,20.28,19.965,20.13,20.13,47800
2021-02-02,20.41,20.48,20.32,20.42,20.42,34500
2021-02-03,20.37,20.52,20.348,20.401,20.401,72500
2021-02-04,20.49,20.575,20.402,20.52,20.52,55400
2021-02-05,20.6,20.65,20.49,20.62,20.62,52700
2021-02-08,20.71,20.71,20.54,20.631,20.631,37500
2021-02-09,20.68,20.71,20.6,20.684,20.684,41000
2021-02-10,20.71,20.73,20.533,20.63,20.63,52500
2021-02-11,20.66,20.75,20.6,20.71,20.71,18300
2021-02-12,20.73,20.74,20.623,20.725,20.725,67200
2021-02-16,20.83,20.83,20.59,20.59,20.59,30900
2021-02-17,20.59,20.65,20.5,20.568,20.568,33800
2021-02-18,20.54,20.64,20.42,20.535,20.535,31300
2021-02-19,20.67,20.68,20.56,20.585,20.585,51600
2021-02-22,20.45,20.5,20.221,20.241,20.241,45500
2021-02-23,19.97,20.33,19.83,20.2,20.2,115000
2021-02-24,20.15,20.39,20.07,20.308,20.308,144100
2021-02-25,20.27,20.36,19.86,19.96,19.96,104500
2021-02-26,19.94,20.198,19.87,19.96,19.96,23100
2021-03-01,20.28,20.42,20.19,20.28,20.28,19600
2021-03-02,20.47,20.47,20.1,20.23,20.23,68800
2021-03-03,20.13,20.16,19.86,19.9,19.9,68200
2021-03-04,19.81,19.959,19.52,19.52,19.52,34900
2021-03-05,19.76,19.95,19.43,19.81,19.81,155000
2021-03-08,19.89,19.91,19.55,19.55,19.55,186700
2021-03-09,19.83,20.09,19.83,20.08,20.08,62800
2021-03-10,20.08,20.08,19.987,19.99,19.99,50700
2021-03-11,20.26,20.35,20.136,20.34,20.34,30300
2021-03-12,20.17,20.27,20.04,20.2,20.2,31200
2021-03-15,20.16,20.32,20.075,20.24,20.24,25400
2021-03-16,20.435,20.51,20.32,20.4,20.4,28800
2021-03-17,20.29,20.5,20.171,20.33,20.33,30600
2021-03-18,20.25,20.27,20,20,20,35100
2021-03-19,20.075,20.19,20,20.02,20.02,95300
2021-03-22,20.34,20.46,20.27,20.41,20.41,17500
2021-03-23,20.325,20.479,20.281,20.37,20.37,32800
2021-03-24,20.41,20.41,20.03,20.03,20.03,12100
2021-03-25,20.18,20.18,19.947,20.118,20.118,13400
2021-03-26,20.19,20.278,20.11,20.278,20.278,10200
2021-03-29,20.39,20.42,20.2,20.2,20.2,20800
2021-03-30,20.21,20.319,20.209,20.25,20.25,25300
2021-03-31,20.4,20.54,20.4,20.51,20.51,24800
2021-04-01,20.66,20.76,20.603,20.76,20.76,23900
2021-04-05,20.81,20.99,20.81,20.99,20.99,60100
2021-04-06,20.92,20.99,20.88,20.88,20.88,13800
2021-04-07,20.97,20.99,20.92,20.96,20.96,26200
2021-04-08,21.09,21.09,20.95,21.029,21.029,18100
2021-04-09,21.03,21.093,20.951,21.089,21.089,18500
2021-04-12,21.03,21.14,21.02,21.02,21.02,11000
2021-04-13,21.07,21.24,21.07,21.24,21.24,6600
2021-04-14,21.22,21.22,21.08,21.1,21.1,18600
2021-04-15,21.185,21.275,21.11,21.255,21.255,8400
2021-04-16,21.24,21.31,21.2,21.284,21.284,6800
2021-04-19,21.28,21.28,21.065,21.131,21.131,10200
2021-04-20,21.17,21.17,20.95,21.06,21.06,3800
2021-04-21,20.98,21.18,20.98,21.14,21.14,17700
2021-04-22,21.24,21.268,21,21,21,32600
2021-04-23,21.05,21.27,21.05,21.24,21.24,23600
2021-04-26,21.15,21.29,21.15,21.23,21.23,4800
2021-04-27,21.32,21.32,21.2,21.229,21.229,14500
2021-04-28,21.24,21.27,21.195,21.204,21.204,13000
2021-04-29,21.25,21.3,21.15,21.19,21.19,7600
2021-04-30,21.21,21.21,21.149,21.149,21.149,2000
2021-05-03,21.26,21.26,21.06,21.135,21.135,20800
2021-05-04,21.09,21.09,20.729,20.836,20.836,22600
2021-05-05,20.894,20.989,20.835,20.835,20.835,13700
2021-05-06,20.76,20.94,20.76,20.935,20.935,9900
2021-05-07,21.139,21.169,21.045,21.1,21.1,7500
2021-05-10,20.949,20.95,20.741,20.78,20.78,10200
2021-05-11,20.69,20.78,20.501,20.736,20.736,21600
2021-05-12,20.61,20.61,20.311,20.311,20.311,36100
2021-05-13,20.66,20.66,20.351,20.57,20.57,25800
2021-05-14,20.79,20.792,20.63,20.792,20.792,4700
2021-05-17,20.759,20.766,20.57,20.682,20.682,18200
2021-05-18,20.72,20.85,20.59,20.646,20.646,8400
2021-05-19,20.36,20.67,20.34,20.67,20.67,24100
2021-05-20,20.6,20.93,20.59,20.864,20.864,5600
2021-05-21,20.93,20.93,20.788,20.86,20.86,7100
2021-05-24,20.93,21.09,20.93,21.032,21.032,6900
2021-05-25,21.109,21.11,20.931,21.046,21.046,20100
2021-05-26,21.05,21.15,21.05,21.108,21.108,44300
2021-05-27,21.23,21.23,21.03,21.102,21.102,55400
2021-05-28,21.16,21.21,21.09,21.145,21.145,10800
