Date,Open,High,Low,Close,AdjustedClose,Volume
2014-06-09,60.57,60.57,60.4297,60.4297,60.4297,417
2014-06-12,60.17,60.17,60.17,60.17,60.17,206
2014-06-13,60.43,60.46,60.43,60.46,60.46,517
2014-06-16,60.9,64.49,60.38,60.39,60.39,1666
2014-06-17,62.556,62.556,60.315,60.48,60.48,4263
2014-06-18,60.74,60.74,60.5,60.5,60.5,1400
2014-06-19,60.93,61.01,60.93,61.01,61.01,200
2014-06-20,61.01,61.0299,61.01,61.0299,61.0299,550
2014-06-23,60.53,60.558,60.53,60.558,60.558,1200
2014-06-24,60.59,60.59,60.59,60.59,60.59,100
2014-06-30,60.8299,60.85,60.7,60.85,60.85,612
2014-07-02,61.35,61.35,61.35,61.35,61.35,450
2014-07-08,60.68,60.68,60.68,60.68,60.68,340
2014-07-09,60.6099,60.6099,60.6099,60.6099,60.6099,200
2014-07-11,60.1143,60.18,60.1143,60.18,60.18,2784
2014-07-14,60.574,60.574,60.574,60.574,60.574,492
2014-07-17,60.56,60.56,60.56,60.56,60.56,516
2014-07-21,60.2148,60.4799,60.2131,60.4799,60.4799,700
2014-07-22,60.7594,60.7594,60.7594,60.7594,60.7594,200
2014-07-23,60.48,60.85,60.48,60.7501,60.7501,2000
2014-07-24,60.75,60.8001,60.75,60.8001,60.8001,900
2014-07-25,60.35,60.51,60.35,60.51,60.51,800
2014-07-28,60.43,60.43,60.43,60.43,60.43,400
2014-07-29,60.61,60.61,60.24,60.24,60.24,300
2014-07-31,60.24,60.24,60.12,60.12,60.12,1104
2014-08-08,58.14,58.41,58.14,58.41,58.41,1194
2014-08-14,59.08,59.17,59.08,59.17,59.17,720
2014-08-15,59.29,59.29,59.29,59.29,59.29,247
2014-08-20,60.14,60.14,59.35,59.5,59.5,500
2014-08-21,59.7799,59.7799,59.7799,59.7799,59.7799,1000
2014-08-22,59.5025,59.5025,59.5025,59.5025,59.5025,405
2014-08-26,59.78,59.7899,59.6601,59.6601,59.6601,1900
2014-08-28,59.6799,59.7899,59.6799,59.7899,59.7899,775
2014-09-03,60.17,60.17,60.17,60.17,60.17,250
2014-09-04,60,60,59.5501,59.5501,59.5501,500
2014-09-08,59.15,59.15,59.1499,59.15,59.15,850
2014-09-09,59.0499,59.0499,58.8301,58.8301,58.8301,270
2014-09-12,58.7,58.7,58.68,58.68,58.68,435
2014-09-15,58.65,58.78,58.65,58.7401,58.7401,1050
2014-09-22,58.59,58.59,58.59,58.59,58.59,130
2014-10-01,56.591,56.591,56.591,56.591,56.591,269
2014-10-03,56.1144,56.1144,56.1144,56.1144,56.1144,400
2014-10-07,55.8101,55.8101,55.8101,55.8101,55.8101,165
2014-10-09,55.9,55.9,55.51,55.51,55.51,679
2014-10-13,54.61,54.88,54.61,54.88,54.88,1500
2014-10-16,53.67,53.67,53.6699,53.6699,53.6699,1200
2014-10-22,55.39,55.4899,55.39,55.4899,55.4899,666
2014-10-23,55.83,55.91,55.76,55.76,55.76,1311
2014-10-24,55.87,56.63,55.87,56.48,56.48,2600
2014-10-27,56.01,56.04,56.01,56.02,56.02,1700
2014-10-30,56.7799,56.7799,56.7799,56.7799,56.7799,216
2014-11-03,58.23,58.23,58.23,58.23,58.23,193
2014-11-04,56.78,56.78,56.53,56.726,56.726,2081
2014-11-05,56.86,56.89,56.86,56.89,56.89,876
2014-11-06,56.75,56.75,56.75,56.75,56.75,100
