Date,Open,High,Low,Close,AdjustedClose,Volume
2017-12-07,16.25,17.73,15.56,17.47,17.47,2346192
2017-12-08,17.5,18.75,17.35,18.18,18.18,268596
2017-12-11,18.25,19.34,18.14,19.08,19.08,134818
2017-12-12,19.85,19.85,18.9,19,19,216813
2017-12-13,18.96,19.22,18.01,18.685,18.685,186060
2017-12-14,18.75,18.9,18.33,18.7,18.7,111865
2017-12-15,18.62,19.28,17,17.75,17.75,130187
2017-12-18,18.23,19.68,17.041,18.64,18.64,189045
2017-12-19,18.44,19.79,17.8969,19.36,19.36,137267
2017-12-20,19.59,19.8,18.92,19.33,19.33,135774
2017-12-21,19.37,20.36,19.07,19.68,19.68,261408
2017-12-22,20.4,21.31,20.3777,21,21,252027
2017-12-26,21.3,21.3,20.37,20.9,20.9,81145
2017-12-27,21.16,22.65,20.39,20.89,20.89,61809
2017-12-28,20.96,22.66,20.74,22.18,22.18,118534
2017-12-29,21.83,23.7,21.36,21.47,21.47,93476
2018-01-02,21.53,21.53,19.06,19.55,19.55,255411
2018-01-03,19.76,20.6,18.72,19.08,19.08,205761
2018-01-04,19.11,19.69,19.03,19.49,19.49,72537
2018-01-05,19.42,20.5,19.31,19.48,19.48,105426
2018-01-08,19.54,20.4,19.5,19.75,19.75,136799
2018-01-09,19.76,20.39,19.76,20.16,20.16,80451
2018-01-10,20.2,20.49,19.49,20.07,20.07,69467
2018-01-11,19.9,20.57,19.55,20.11,20.11,140872
2018-01-12,20.26,21.5,20.15,20.57,20.57,289977
2018-01-16,20.75,21.96,20.75,20.91,20.91,151875
2018-01-17,20.85,21.135,20.25,20.69,20.69,125685
2018-01-18,20.54,21.4,20.45,21.06,21.06,97267
2018-01-19,20.88,21.38,20.66,20.94,20.94,93993
2018-01-22,20.9,21.4999,20.831,21.38,21.38,77542
2018-01-23,21.57,23.49,21.57,23.1,23.1,71309
2018-01-24,23.03,24.805,23.03,23.2,23.2,129956
2018-01-25,23.12,24.6,23.02,24.28,24.28,96310
2018-01-26,24.61,24.61,22.71,22.85,22.85,123750
2018-01-29,22.85,22.85,20.8548,21.06,21.06,238241
2018-01-30,21.08,21.9575,20.5989,21,21,59109
2018-01-31,21.15,21.82,20.28,20.81,20.81,95756
2018-02-01,20.16,20.603,19.75,19.9,19.9,77144
2018-02-02,20.02,21.35,20.02,20.23,20.23,61977
2018-02-05,20.16,21.04,18.73,19.03,19.03,175040
2018-02-06,18.82,19.009,17.45,18.56,18.56,167380
2018-02-07,19.02,19.68,18.46,19.12,19.12,71966
2018-02-08,19.6,20.2,18.57,19.39,19.39,108727
2018-02-09,19.21,19.95,19.115,19.49,19.49,39212
2018-02-12,19.49,20.29,19.0256,20.11,20.11,149260
2018-02-13,20.01,21.24,19.24,20.67,20.67,83348
2018-02-14,20.22,21.2376,20.14,20.73,20.73,61646
2018-02-15,20.97,23.3,20.97,21.42,21.42,81988
2018-02-16,21.191,23.99,21.191,23.39,23.39,142445
2018-02-20,23.52,23.7,22.23,22.43,22.43,110492
2018-02-21,22,23.05,21.5,22.2,22.2,130154
2018-02-22,22.22,23.48,22.22,22.86,22.86,82464
2018-02-23,23.07,23.14,21.915,22.12,22.12,114438
2018-02-26,22.4079,23.22,21.81,22.64,22.64,137844
2018-02-27,22.49,23,21.53,21.95,21.95,116187
2018-02-28,21.93,22.02,20.71,20.89,20.89,147771
2018-03-01,20.595,21.395,20.02,20.56,20.56,109109
2018-03-02,20.86,20.86,19.54,19.91,19.91,123104
2018-03-05,19.46,20.78,19.45,20.1,20.1,118007
2018-03-06,20.18,20.18,18.5501,19.42,19.42,165762
2018-03-07,20.25,20.25,18.82,18.9,18.9,91706
2018-03-08,19.02,19.67,18.44,18.52,18.52,85153
2018-03-09,18.68,19.7,18.51,18.67,18.67,87403
2018-03-12,18.81,19.99,18.61,19.85,19.85,82112
2018-03-13,19.99,21.24,19.23,20.82,20.82,112424
2018-03-14,20.91,21.09,20.19,20.63,20.63,194879
2018-03-15,20.65,22,18.15,18.22,18.22,268362
2018-03-16,18.22,18.58,17.5,17.7,17.7,870112
2018-03-19,17.8,18.8405,16.86,17.14,17.14,170250
2018-03-20,17.26,18.17,17.15,17.49,17.49,125028
2018-03-21,17.54,17.54,17.02,17.04,17.04,83941
2018-03-22,17,17.485,16.72,16.91,16.91,192214
2018-03-23,16.93,16.93,16.03,16.18,16.18,102989
2018-03-26,16.45,17.68,16.45,17.63,17.63,151187
2018-03-27,17.65,17.65,16.37,16.46,16.46,96720
2018-03-28,16.46,17.35,16.11,16.73,16.73,85365
2018-03-29,16.85,17.61,16.65,17.04,17.04,61646
2018-04-02,16.97,17.43,16.57,16.68,16.68,68969
2018-04-03,16.82,16.82,16.1125,16.59,16.59,78895
2018-04-04,16.36,17.01,15.7,16.09,16.09,141938
2018-04-05,16.32,16.89,15.9397,16.64,16.64,117218
2018-04-06,16.52,16.52,15.95,16.11,16.11,84933
2018-04-09,16.27,16.6,16.16,16.24,16.24,66259
2018-04-10,16.44,16.54,16.05,16.3,16.3,90935
2018-04-11,15.7097,16.67,15.7097,16.61,16.61,57918
2018-04-12,16.64,16.7692,16.07,16.09,16.09,22148
2018-04-13,16.16,16.215,15.5,15.57,15.57,92384
2018-04-16,15.67,16.17,15.3,16.08,16.08,47868
2018-04-17,16.22,17.1,16.08,17.09,17.09,70490
2018-04-18,17.09,17.515,16.89,17.4,17.4,37568
2018-04-19,17.32,17.86,16.51,16.88,16.88,71131
2018-04-20,16.86,17.69,16.72,17.53,17.53,47278
2018-04-23,17.59,17.59,16.34,16.77,16.77,37903
2018-04-24,16.83,17.29,16.45,17.15,17.15,84216
2018-04-25,17.14,17.14,16.56,16.81,16.81,74337
2018-04-26,16.88,17.48,16.81,16.9,16.9,76651
2018-04-27,16.94,17.29,16.51,17.27,17.27,50139
2018-04-30,17.19,17.275,16.61,16.95,16.95,56537
2018-05-01,16.8338,16.96,16.185,16.81,16.81,75422
2018-05-02,16.83,17.09,16.491,16.8,16.8,36880
2018-05-03,16.69,16.87,16.23,16.64,16.64,72112
2018-05-04,16.62,18.43,16.62,18.3,18.3,71215
2018-05-07,18.31,18.58,17.85,18.3,18.3,72676
2018-05-08,18.31,18.51,18.07,18.38,18.38,35081
2018-05-09,18.43,19.04,18.33,18.98,18.98,23887
2018-05-10,19.03,19.29,18.62,19.12,19.12,41217
2018-05-11,19.15,19.96,18.8,19.27,19.27,111043
2018-05-14,19.26,19.62,18.06,19.02,19.02,100262
2018-05-15,19,19.18,18.6,18.96,18.96,45162
2018-05-16,18.92,19.66,18.85,19.18,19.18,74626
2018-05-17,19.2,19.99,19.2,19.65,19.65,35718
