Date,Open,High,Low,Close,AdjustedClose,Volume
2020-07-16,34.845,36.14,33.23,35.05,35.05,7091900
2020-07-17,33.96,44.08,33.33,43.98,43.98,961900
2020-07-20,42.1,49.89,41,42.87,42.87,1186837
2020-07-21,42,46.8,41.25,41.28,41.28,752407
2020-07-22,40.33,40.92,36.61,40.04,40.04,2000335
2020-07-23,39.11,39.77,34.0402,36.2,36.2,679292
2020-07-24,36.2,36.41,33.19,33.2,33.2,372846
2020-07-27,33.58,35.3,33.58,34.55,34.55,236975
2020-07-28,34.02,34.7,33.51,33.88,33.88,327026
2020-07-29,33.77,34.949,33.77,34.4,34.4,233120
2020-07-30,33.95,36.47,33.325,35,35,203471
2020-07-31,34.36,36.595,34.36,35.46,35.46,383700
2020-08-03,34.86,39.6,34.75,36.65,36.65,410500
2020-08-04,36.05,37.79,35,36.59,36.59,221300
2020-08-05,36.25,39.73,35.7,37.84,37.84,258500
2020-08-06,37.48,41.73,36.66,41.02,41.02,300900
2020-08-07,40.54,43.44,40.02,40.69,40.69,181600
2020-08-10,40.45,42.6,39.24,41.1,41.1,129300
2020-08-11,41.5,42.5,39.85,41.2,41.2,182500
2020-08-12,40.18,41.8,38.08,38.88,38.88,209800
2020-08-13,38.52,38.83,35.56,36.4,36.4,256200
2020-08-14,35.7,36.7,32.56,32.81,32.81,402400
2020-08-17,34.51,35.25,33.45,33.74,33.74,351500
2020-08-18,33.9,36,33.9,34.49,34.49,272400
2020-08-19,34.57,39.97,34.5,36.53,36.53,334200
2020-08-20,36.46,39.22,36.114,36.93,36.93,190800
2020-08-21,36.52,38.41,35,37.37,37.37,183100
2020-08-24,37.73,41.46,36.35,38.92,38.92,325200
2020-08-25,39.35,39.69,36.78,37.85,37.85,147100
2020-08-26,37.93,39.62,36.11,36.31,36.31,238100
2020-08-27,36.02,37.72,34.9,36.33,36.33,204700
2020-08-28,36.55,39.865,35.016,39.21,39.21,138500
2020-08-31,39.36,42.82,38.79,40.19,40.19,321200
2020-09-01,37.14,40.86,36.864,38.23,38.23,253600
2020-09-02,38.22,38.57,35.9,36.98,36.98,250000
2020-09-03,36.49,38.58,35.87,36.93,36.93,222600
2020-09-04,37.33,38.09,35.32,35.33,35.33,187900
2020-09-08,35.02,36,34.2,35.17,35.17,223600
2020-09-09,35.62,37.97,35.62,36.79,36.79,217600
2020-09-10,36.09,38.61,35.91,37.3,37.3,402900
2020-09-11,37.32,37.95,34.68,35.15,35.15,356300
2020-09-14,35.4,39.23,35.4,36.93,36.93,638400
2020-09-15,37.02,39.91,37.02,37.85,37.85,459000
2020-09-16,37.86,40.32,37.07,38.92,38.92,419200
2020-09-17,38.07,40.81,37.9,40.18,40.18,381400
2020-09-18,40.25,48.44,40.25,44.2,44.2,5172400
2020-09-21,42.8,48.8,42.52,45.1,45.1,653100
2020-09-22,45.5,45.5,42.391,44.68,44.68,307700
2020-09-23,44.38,49.89,42.01,42.16,42.16,560900
2020-09-24,41.99,43.45,39.14,40.19,40.19,375100
2020-09-25,40,42.72,38.19,39.4,39.4,439400
2020-09-28,40.08,40.47,36.59,38.01,38.01,290300
2020-09-29,37.81,41.34,36.57,39.98,39.98,378900
2020-09-30,39.83,43.78,38.66,42.59,42.59,332000
2020-10-01,42.91,43.315,40.12,42.6,42.6,282400
2020-10-02,43.84,43.84,39.93,41.07,41.07,205800
2020-10-05,41.32,45.47,41.32,45.15,45.15,115300
2020-10-06,45.27,45.38,42.52,43.08,43.08,167000
2020-10-07,43.46,44.58,42.82,43.68,43.68,155100
2020-10-08,43.92,44.66,41.75,42.98,42.98,197300
2020-10-09,42.98,43.06,41.38,42.15,42.15,204500
2020-10-12,42.36,42.85,41.538,42.39,42.39,126200
2020-10-13,42.25,42.87,40.67,41.36,41.36,130500
2020-10-14,41.17,41.96,37.585,37.74,37.74,266000
2020-10-15,37.43,38.93,35.5,37.52,37.52,161800
