Date,Open,High,Low,Close,AdjustedClose,Volume
2012-02-09,25.58,25.59,25.55,25.55,25.55,2300
2012-02-10,25.14,25.26,25.03,25.15,25.15,5800
2012-02-13,25.6,25.6,25.6,25.6,25.6,100
2012-02-15,26.47,26.47,26.43,26.43,26.43,5300
2012-02-17,27.18,27.2,27.12,27.12,27.12,5610
2012-02-21,27.3,27.4265,27.3,27.37,27.37,14388
2012-02-22,26.5,26.5,26.3,26.43,26.43,5480
2012-02-23,26.04,26.08,25.99,26.08,26.08,18305
2012-02-24,26.01,26.01,25.97,25.99,25.99,10000
2012-02-27,25.23,25.23,25.02,25.16,25.16,16925
2012-02-28,26.06,26.2,26.06,26.2,26.2,17800
2012-02-29,26.42,26.42,26.22,26.24,26.24,3090
2012-03-01,26.26,26.26,26.26,26.26,26.26,2100
2012-03-02,25.93,25.93,25.93,25.93,25.93,300
2012-03-05,25.43,25.43,25.31,25.36,25.36,16400
2012-03-06,24.8,24.8,24.23,24.29,24.29,25101
2012-03-07,24.59,24.59,24.59,24.59,24.59,500
2012-03-09,25.89,26.16,25.88,25.97,25.97,7398
2012-03-13,26.5,26.65,26.39,26.65,26.65,744
2012-03-14,26.48,26.48,26.4,26.42,26.42,4998
2012-03-15,25.89,26.06,25.89,26.06,26.06,1150
2012-03-16,25.8,25.8,25.69,25.69,25.69,4400
2012-03-19,25.35,25.81,25.3,25.3,25.3,850
2012-03-20,24.9935,24.9935,24.99,24.99,24.99,350
2012-03-21,25.72,25.72,25.72,25.72,25.72,150
2012-03-22,25.03,25.03,24.9,24.9,24.9,1340
2012-03-23,25.04,25.04,24.89,24.89,24.89,1340
2012-03-26,24.77,24.8,24.77,24.8,24.8,600
2012-03-27,24.86,24.86,24.86,24.86,24.86,1500
2012-03-28,24.5,24.5,24.27,24.27,24.27,1327
2012-03-29,24.25,24.25,24.12,24.12,24.12,200
2012-03-30,24.92,24.92,24.92,24.92,24.92,100
2012-04-02,25.25,25.74,25.25,25.74,25.74,1000
2012-04-05,25.38,25.38,25.38,25.38,25.38,195
2012-04-10,24.75,24.75,24.49,24.49,24.49,3200
2012-04-13,24.46,24.57,24.46,24.57,24.57,2550
2012-04-16,26.98,26.98,24.56,24.56,24.56,210
2012-04-20,24.64,24.64,24.62,24.62,24.62,2400
2012-04-23,24.25,24.25,23.9,23.9,23.9,1200
2012-04-24,23.84,23.84,23.84,23.84,23.84,500
2012-04-25,23.75,23.75,23.75,23.75,23.75,725
2012-04-26,23.71,23.71,23.71,23.71,23.71,200
2012-04-27,23.9,23.9,23.9,23.9,23.9,106
2012-04-30,24.03,24.06,24.03,24.06,24.06,394
2012-05-02,23.58,23.66,23.58,23.59,23.59,1200
2012-05-03,23.05,23.05,23.0499,23.0499,23.0499,400
2012-05-04,22.52,22.53,22.52,22.53,22.53,925
2012-05-09,22.059,22.09,22.059,22.07,22.07,685
2012-05-10,22.32,22.32,22.32,22.32,22.32,400
2012-05-14,21.32,21.32,21.2499,21.2499,21.2499,2357
2012-05-15,21.57,21.57,21.47,21.48,21.48,1969
2012-05-18,21.01,21.01,21.01,21.01,21.01,1169
2012-05-21,21.76,21.76,21.2,21.26,21.26,9900
2012-05-22,21.2,21.2,20.89,20.92,20.92,3250
2012-05-23,21.33,21.33,20.2,20.25,20.25,3798
2012-05-24,20.85,20.86,20.49,20.7,20.7,4697
2012-05-25,20.98,20.98,20.92,20.92,20.92,1350
2012-05-29,21.32,22.5,21.2,21.2,21.2,3100
2012-05-30,20.75,20.75,20.64,20.6899,20.6899,1250
2012-05-31,20.5035,20.83,20.5,20.83,20.83,1600
2012-06-01,20.9,20.9,20.7065,20.78,20.78,2658
2012-06-04,20.8,20.8,20.66,20.66,20.66,2000
2012-06-05,20.52,20.82,20.52,20.8,20.8,5200
2012-06-06,21.4235,21.4235,21.42,21.42,21.42,400
2012-06-07,22.07,22.07,21.8199,21.8199,21.8199,2515
2012-06-08,21.83,21.83,21.66,21.8,21.8,3891
2012-06-11,21.66,21.67,21,21.1,21.1,3400
2012-06-12,21.51,21.5101,21.51,21.5101,21.5101,760
2012-06-13,21.5,21.64,21.3,21.3,21.3,10900
2012-06-14,21.84,21.84,21.05,21.05,21.05,1000
2012-06-19,21.925,21.925,21.03,21.14,21.14,1350
2012-06-20,20.9835,21.07,20.88,21.07,21.07,5910
2012-06-21,20.98,21.06,20.98,21.06,21.06,658
2012-06-22,21.11,21.11,21.11,21.11,21.11,500
2012-06-25,20.87,21.0065,20.87,20.97,20.97,650
2012-06-26,20.6,20.98,20.6,20.98,20.98,1900
2012-06-27,21.32,21.38,21.32,21.38,21.38,5000
2012-06-28,21.36,21.36,21.19,21.3,21.3,1100
2012-07-02,22.2,22.5,21.95,22.5,22.5,4600
2012-07-03,22.98,23.22,22.98,23.2,23.2,1150
2012-07-05,23.2,23.2,23.05,23.05,23.05,400
2012-07-06,22.65,22.65,22.59,22.62,22.62,650
2012-07-09,22.55,22.55,22.35,22.3501,22.3501,1900
2012-07-10,22.71,22.74,22.7,22.74,22.74,10748
2012-07-11,22.66,22.66,22.66,22.66,22.66,200
2012-07-12,22.6,22.6,22.56,22.56,22.56,2200
2012-07-16,22.85,22.85,22.85,22.85,22.85,200
2012-07-19,22.51,22.65,22.51,22.52,22.52,700
2012-07-24,21.79,21.79,21.49,21.77,21.77,3395
2012-07-26,21.89,21.89,21.69,21.69,21.69,1600
2012-07-31,21.52,21.65,21.52,21.65,21.65,1800
2012-08-01,21.98,22.04,21.98,22.04,22.04,300
2012-08-02,21.6,21.6,21.6,21.6,21.6,900
2012-08-03,21.6,22.1201,21.6,22.1201,22.1201,700
2012-08-06,22.37,22.37,22.37,22.37,22.37,225
2012-08-07,22.51,22.5101,22.51,22.5101,22.5101,600
2012-08-08,22.05,22.32,22.05,22.32,22.32,200
2012-08-10,22.27,22.28,22.26,22.26,22.26,20000
2012-08-13,22.15,22.2,22.15,22.2,22.2,425
2012-08-16,22.16,22.1601,22.16,22.1601,22.1601,200
2012-08-21,22,22.241,22,22.17,22.17,420
2012-08-22,22.32,22.32,22.12,22.12,22.12,1600
2012-08-23,22.04,22.04,22.04,22.04,22.04,200
2012-08-27,22,22,21.43,21.52,21.52,2000
2012-08-28,21.37,21.37,21.32,21.32,21.32,325
2012-08-30,21.2,21.2,21.2,21.2,21.2,500
2012-09-04,21.3,21.3,21.3,21.3,21.3,300
2012-09-05,21.85,21.85,21.2,21.2,21.2,2003
2012-09-06,21.7,21.7,21.6999,21.6999,21.6999,220
2012-09-07,21.96,21.96,21.96,21.96,21.96,1800
2012-09-10,22.06,22.06,22.06,22.06,22.06,800
2012-09-11,22.2,22.2,22.18,22.18,22.18,4200
2012-09-12,22.25,22.28,22.19,22.28,22.28,6399
2012-09-13,22.66,22.66,22.66,22.66,22.66,826
2012-09-14,22.86,23.12,22.86,23.11,23.11,1475
2012-09-17,23.2001,23.2001,23.2,23.2,23.2,200
2012-09-19,23.24,23.24,23.24,23.24,23.24,106
2012-09-21,24.25,24.25,24.25,24.25,24.25,200
2012-09-24,24.22,24.28,24.16,24.28,24.28,2551
2012-09-25,24.4,24.4,24.15,24.15,24.15,700
2012-09-27,24.68,25.07,24.68,25.07,25.07,3271
2012-09-28,25.12,25.12,25.12,25.12,25.12,100
2012-10-01,25.22,25.79,25.22,25.74,25.74,4226
2012-10-02,25.7,25.7,25.61,25.64,25.64,800
2012-10-04,26.13,26.4,26.13,26.3999,26.3999,1311
2012-10-05,26.1,26.1,25.96,25.99,25.99,2200
2012-10-08,25.7,25.7,25.5415,25.5415,25.5415,1200
2012-10-09,25.48,25.48,25.35,25.35,25.35,1225
2012-10-10,24.98,25.07,24.9,24.99,24.99,9600
2012-10-11,25.49,25.54,25.49,25.54,25.54,584
2012-10-12,25.54,25.54,25.52,25.52,25.52,17100
2012-10-15,25.35,25.51,25.35,25.47,25.47,2300
2012-10-16,25.45,25.45,25.32,25.36,25.36,7050
2012-10-17,25.34,25.49,25.33,25.33,25.33,15410
2012-10-18,25.33,25.42,25.04,25.04,25.04,50353
2012-10-19,24.99,25.02,24.9,24.95,24.95,43850
2012-10-23,24.86,24.9701,24.86,24.9701,24.9701,306
