Date,Open,High,Low,Close,AdjustedClose,Volume
2006-02-03,0.2,0.21,0.2,0.21,0.21,19
2006-02-06,0.21,0.27,0.2,0.254,0.254,174
2006-02-07,0.255,0.255,0.22,0.245,0.245,89
2006-02-08,0.24,0.24,0.15,0.23,0.23,18
2006-02-09,0.205,0.205,0.17,0.2,0.2,172
2006-02-10,0.21,0.21,0.18,0.2,0.2,92
2006-02-13,0.22,0.22,0.2,0.21,0.21,36
2006-02-14,0.22,0.22,0.2,0.215,0.215,32
2006-02-15,0.22,0.22,0.19,0.2,0.2,11
2006-02-16,0.19,0.19,0.19,0.19,0.19,15
2006-02-17,0.19,0.21,0.19,0.19,0.19,65
2006-02-21,0.19,0.205,0.19,0.2,0.2,40
2006-02-22,0.2,0.21,0.2,0.2,0.2,68
2006-02-23,0.205,0.205,0.19,0.205,0.205,19
2006-02-24,0.205,0.205,0.19,0.2,0.2,16
2006-02-27,0.19,0.205,0.19,0.2,0.2,29
2006-02-28,0.21,0.23,0.2,0.23,0.23,53
2006-03-01,0.23,0.23,0.22,0.23,0.23,30
2006-03-02,0.22,0.23,0.22,0.23,0.23,41
2006-03-03,0.22,0.24,0.21,0.22,0.22,40
2006-03-06,0.22,0.24,0.22,0.23,0.23,162
2006-03-07,0.23,0.23,0.23,0.23,0.23,24
2006-03-08,0.24,0.24,0.21,0.21,0.21,76
2006-03-09,0.21,0.225,0.21,0.225,0.225,99
2006-03-10,0.23,0.23,0.205,0.21,0.21,135
2006-03-13,0.21,0.22,0.205,0.205,0.205,48
2006-03-14,0.215,0.23,0.21,0.22,0.22,88
2006-03-15,0.22,0.24,0.215,0.225,0.225,89
2006-03-16,0.225,0.23,0.205,0.205,0.205,158
2006-03-17,0.21,0.23,0.2031,0.2031,0.2031,10
2006-03-20,0.23,0.23,0.225,0.225,0.225,22
2006-03-21,0.23,0.24,0.21,0.235,0.235,84
2006-03-22,0.23,0.235,0.225,0.235,0.235,13
2006-03-23,0.235,0.24,0.21,0.22,0.22,98
2006-03-24,0.22,0.22,0.22,0.22,0.22,6
2006-03-27,0.23,0.23,0.205,0.205,0.205,30
2006-03-28,0.21,0.21,0.207,0.21,0.21,18
2006-03-29,0.21,0.21,0.205,0.21,0.21,12
2006-03-30,0.21,0.21,0.21,0.21,0.21,9
2006-03-31,0.21,0.21,0.19,0.19,0.19,24
2006-04-03,0.205,0.21,0.2,0.205,0.205,13
2006-04-04,0.21,0.21,0.2,0.205,0.205,18
2006-04-05,0.205,0.205,0.2,0.2,0.2,4
2006-04-06,0.2,0.205,0.19,0.205,0.205,13
2006-04-07,0.215,0.215,0.2,0.2,0.2,9
2006-04-10,0.2,0.2,0.19,0.19,0.19,12
2006-04-11,0.17,0.19,0.16,0.185,0.185,17
2006-04-12,0.18,0.195,0.17,0.195,0.195,10
2006-04-13,0.19,0.19,0.18,0.19,0.19,4
2006-04-17,0.19,0.19,0.17,0.19,0.19,8
2006-04-18,0.18,0.18,0.16,0.16,0.16,11
2006-04-19,0.18,0.18,0.17,0.1775,0.1775,5
2006-04-20,0.155,0.165,0.155,0.165,0.165,97
2006-04-21,0.165,0.165,0.15,0.15,0.15,21
2006-04-24,0.15,0.17,0.15,0.15,0.15,23
2006-04-25,0.155,0.16,0.15,0.155,0.155,41
