Date,Open,High,Low,Close,AdjustedClose,Volume
1995-04-19,7.375,7.5,6,7.375,7.375,364100
1995-04-20,7.625,8.5,6.625,7.75,7.75,353700
1995-04-21,8,8.25,7.5,7.5,7.5,179800
1995-04-24,7.5,8.25,7,7.5,7.5,77300
1995-04-25,8.125,8.125,7.25,7.25,7.25,101800
1995-04-26,8.25,8.25,7.25,7.875,7.875,66000
1995-04-27,7.25,8.25,7.25,8.25,8.25,95000
1995-04-28,8.25,8.25,7.25,8.25,8.25,76400
1995-05-01,7.875,8.25,7.25,8.25,8.25,50200
1995-05-02,7.875,8.25,7.25,7.5,7.5,80500
1995-05-03,8.25,8.25,7.25,7.25,7.25,64000
1995-05-04,8.25,8.25,7.25,7.25,7.25,11300
1995-05-05,7.25,8.25,7.25,7.875,7.875,20700
1995-05-08,7.25,8,7.25,7.25,7.25,33900
1995-05-09,7.5,8.25,7.25,8.25,8.25,147800
1995-05-10,8.25,8.25,7.5,7.625,7.625,143000
1995-05-11,8.25,8.25,7.625,7.625,7.625,51700
1995-05-12,8.25,8.25,7.625,8.25,8.25,29300
1995-05-15,8.25,8.375,7.625,8.375,8.375,39400
1995-05-16,7.75,8.375,7.75,8.375,8.375,30700
1995-05-17,8,8.25,7.75,8,8,49800
1995-05-18,8,8,7.5,8,8,28700
1995-05-19,7.9375,8,7.5,8,8,46700
1995-05-22,8,8,7.5,8,8,34700
1995-05-23,8,8,7,7.625,7.625,95800
1995-05-24,7.25,7.75,7.25,7.25,7.25,31000
1995-05-25,7.25,7.75,7.25,7.5,7.5,20300
1995-05-26,7.5,7.75,7.25,7.25,7.25,22700
1995-05-30,7.25,7.75,7.25,7.25,7.25,9500
1995-05-31,7.75,7.75,7,7.75,7.75,18900
1995-06-01,7.125,7.75,7.125,7.75,7.75,12800
1995-06-02,7.9375,7.9375,7.25,7.25,7.25,9900
1995-06-05,7.875,7.875,7.25,7.875,7.875,5200
1995-06-06,7.25,7.875,7.25,7.25,7.25,27400
1995-06-07,7.875,7.875,7.25,7.875,7.875,18300
1995-06-08,7.75,7.75,7.25,7.25,7.25,17500
1995-06-09,7.75,7.75,7.25,7.75,7.75,8300
1995-06-12,7.75,7.75,7,7.25,7.25,21400
1995-06-13,7.5,7.75,7,7.75,7.75,36000
1995-06-14,7.625,7.625,7.125,7.125,7.125,12700
1995-06-15,7.125,7.625,7.125,7.625,7.625,23100
1995-06-16,7.125,7.75,7,7.5,7.5,26800
1995-06-19,7.625,7.625,7.125,7.375,7.375,13500
1995-06-20,7.125,7.625,7.125,7.625,7.625,20900
1995-06-21,7.25,7.625,7.25,7.5,7.5,62300
1995-06-22,7.625,7.75,7.375,7.75,7.75,165800
1995-06-23,7.75,7.875,7.25,7.875,7.875,33200
1995-06-26,7.875,9.5,7.5,8.5,8.5,228600
1995-06-27,9.25,9.25,8,9,9,86100
1995-06-28,8.75,9,8,8,8,62000
1995-06-29,8,8.875,8,8.5,8.5,26400
1995-06-30,8.25,9,8.25,8.5,8.5,23500
1995-07-03,8.875,8.875,8.5,8.875,8.875,2300
1995-07-05,8.5,8.875,8.25,8.875,8.875,11000
1995-07-06,8.25,8.875,8.25,8.25,8.25,34700
1995-07-07,8.75,9.5,8.25,8.875,8.875,78200
1995-07-10,9.5,9.5,8.5,8.625,8.625,92400
1995-07-11,9,9,8.25,8.375,8.375,49600
1995-07-12,8.375,9.25,8.375,8.625,8.625,175300
1995-07-13,9.125,9.125,8.625,9,9,33700
1995-07-14,9,9.5,8.625,9.25,9.25,32400
1995-07-17,9.25,9.25,8.75,9.25,9.25,53300
1995-07-18,8.75,9.25,8.75,9.125,9.125,67300
1995-07-19,8.875,9.25,8.25,8.75,8.75,47200
1995-07-20,9,9,8.25,8.75,8.75,8300
1995-07-21,8.25,8.875,8.25,8.875,8.875,10500
1995-07-24,8.375,9.25,8.375,9,9,50500
1995-07-25,9.5,9.5,8.75,9.25,9.25,72400
1995-07-26,9.5,9.5,9,9.25,9.25,70500
1995-07-27,9.25,9.5,8.75,9,9,87200
1995-07-28,9.125,10.25,9,10,10,62100
1995-07-31,10.625,11.5,9.875,11.375,11.375,226500
1995-08-01,11,12,11,11.25,11.25,209900
1995-08-02,11.25,11.75,10.75,10.75,10.75,119700
1995-08-03,11,11,9.25,10.25,10.25,146500
1995-08-04,10.5,10.5,9.75,10,10,45000
1995-08-07,9.75,10.5,9.75,10.5,10.5,34400
1995-08-08,10.5,10.5,9.5,10,10,49000
1995-08-09,10,10,9.5,10,10,37100
1995-08-10,10,10,9.25,9.375,9.375,32100
1995-08-11,9.75,9.875,9.25,9.375,9.375,45100
1995-08-14,9.875,9.875,9.375,9.875,9.875,34800
1995-08-15,9.875,9.875,9.375,9.5,9.5,20800
1995-08-16,9.875,10.75,9.375,9.75,9.75,109500
1995-08-17,9.75,10.5,9.75,10.25,10.25,26100
1995-08-18,10.25,10.25,9.75,9.75,9.75,17800
1995-08-21,10.25,10.5,9.875,10.25,10.25,54400
1995-08-22,10,10.75,9.875,10.375,10.375,101000
1995-08-23,9.875,10.75,9.875,10.25,10.25,31200
1995-08-24,10.75,10.75,10,10,10,21300
1995-08-25,10.5,10.5,9.875,9.875,9.875,28200
1995-08-28,10.5,10.5,9,9.375,9.375,48400
1995-08-29,9.375,10,8.875,9.5,9.5,21300
1995-08-30,9.5,9.5,8.875,9.5,9.5,9000
1995-08-31,9.5,9.5,8.875,9.5,9.5,12600
1995-09-01,9.5,9.5,9,9.375,9.375,10800
