Date,Open,High,Low,Close,AdjustedClose,Volume
2021-03-18,27,27.65,23.98,25,25,27151740
2021-03-19,25.3,25.86,24.68,25.12,25.12,4273511
2021-03-22,24.71,25,21.14,23.19,23.19,5118100
2021-03-23,23,23.09,20.9,21,21,5339400
2021-03-24,21,21.27,18.51,19.28,19.28,6340700
2021-03-25,18.8,20.25,17.585,19.15,19.15,3407200
2021-03-26,20,24.65,19.11,24.64,24.64,3837900
2021-03-29,23,23.01,20.12,20.25,20.25,3954800
2021-03-30,20.26,21.01,19.76,20.38,20.38,1375900
2021-03-31,20.46,22.965,20.45,21.14,21.14,1864600
2021-04-01,21.99,24,21.67,23.34,23.34,2113000
2021-04-05,22.99,23.155,20.05,20.07,20.07,907400
2021-04-06,20.55,21.55,20.19,20.43,20.43,386000
2021-04-07,20.58,21.76,20.3,21,21,481300
2021-04-08,21.34,22.64,21.01,22.21,22.21,460200
2021-04-09,22.07,22.64,21.622,22.27,22.27,774000
2021-04-12,22.11,22.18,19.01,19.31,19.31,1963900
2021-04-13,20,20.52,18.85,19.01,19.01,1023500
2021-04-14,19.05,19.16,17.1,17.76,17.76,1837000
2021-04-15,17.81,18.96,17.51,17.61,17.61,819700
2021-04-16,17.97,20.5,17.91,20.28,20.28,1968100
2021-04-19,20.4,20.5,18,18,18,1314100
2021-04-20,18.4,18.47,17.61,17.77,17.77,1018400
2021-04-21,17.67,18.08,17.42,17.68,17.68,642500
2021-04-22,17.75,18.61,17.39,17.43,17.43,1264700
2021-04-23,17.95,20.59,17.68,20.27,20.27,1101500
2021-04-26,19.75,20.67,19.26,20.35,20.35,505600
2021-04-27,20.36,20.9,19.72,19.96,19.96,543900
2021-04-28,20.25,20.8,19.96,20.72,20.72,561600
2021-04-29,21,21,19.934,20.2,20.2,547400
2021-04-30,19.99,20.2,19.38,19.39,19.39,486000
2021-05-03,19.3,19.93,18.97,19.85,19.85,192205
2021-05-04,19.4,19.86,18.88,19.78,19.78,282077
2021-05-05,19.52,19.52,18.365,18.68,18.68,138300
2021-05-06,18.5,18.61,17.58,18,18,567300
2021-05-07,18.02,18.51,17.41,17.41,17.41,523600
2021-05-10,17.86,17.86,16.37,16.48,16.48,896100
2021-05-11,16.08,17.21,15.7,16.94,16.94,743000
2021-05-12,16.88,17.5,16.41,16.88,16.88,1196300
2021-05-13,17.03,17.79,16.92,16.95,16.95,473200
2021-05-14,17.73,18.15,16.01,17.45,17.45,1561300
2021-05-17,18.1,19.37,17.81,18.96,18.96,1118200
2021-05-18,19.18,21.667,19.18,21.5,21.5,1071200
2021-05-19,20,22.79,19.67,22.62,22.62,1357300
2021-05-20,22.79,25.33,22.79,24.49,24.49,1610600
2021-05-21,24.65,24.84,22.4,23.43,23.43,818700
2021-05-24,23.16,23.16,21.01,21.52,21.52,646900
2021-05-25,22.02,23.788,22.02,23.06,23.06,536600
2021-05-26,23.26,26.65,23.26,26,26,1104600
2021-05-27,26.01,26.19,24.22,24.57,24.57,833800
2021-05-28,25.72,25.72,23.66,23.86,23.86,541200
2021-06-01,24.29,26.05,24.12,25.95,25.95,749600
2021-06-02,25.54,26.35,24.845,25.29,25.29,415100
2021-06-03,25.11,25.11,22,22.11,22.11,931600
2021-06-04,22.59,26,22.5,25.43,25.43,1032900
2021-06-07,25.05,25.26,23.01,23.31,23.31,637600
2021-06-08,23.81,25.24,23.79,24.71,24.71,532600
2021-06-09,24.45,25.43,24.3,24.43,24.43,613900
2021-06-10,24.49,24.89,22.55,22.82,22.82,794600
2021-06-11,22.94,23.21,21.81,22.02,22.02,719300
2021-06-14,22.18,22.66,21.5,21.93,21.93,528400
2021-06-15,21.94,23,21.71,22.47,22.47,703300
2021-06-16,21.99,22.31,20.51,20.91,20.91,1024600
2021-06-17,20.99,21.68,20.52,21.65,21.65,861400
2021-06-18,21.51,21.58,20.08,21.01,21.01,834400
2021-06-21,21.14,21.3,19.94,20.25,20.25,543300
2021-06-22,19.9,21.69,19.87,21.47,21.47,1130700
2021-06-23,21.89,23.79,21.73,23.34,23.34,1399300
2021-06-24,23.41,23.785,23.07,23.59,23.59,1069300
2021-06-25,24,25.12,23.27,23.95,23.95,1819000
2021-06-28,23.52,23.911,22.48,22.52,22.52,722400
2021-06-29,22.58,23.72,22.58,23.5,23.5,819800
2021-06-30,23.48,25,23.17,24.5,24.5,856400
2021-07-01,24.86,25.75,24.01,24.48,24.48,672900
2021-07-02,24.1,25.1,23.9,25.05,25.05,377900
2021-07-06,23.79,24.5,21.35,22.88,22.88,2004400
2021-07-07,23.06,23.459,20.29,20.37,20.37,1080300
2021-07-08,20,20.06,18.02,18.65,18.65,3602900
2021-07-09,19.55,21.21,19.55,20.35,20.35,1701300
2021-07-12,20.25,21.58,20.01,20.96,20.96,1778000
2021-07-13,21.05,21.05,19.91,20.14,20.14,626500
2021-07-14,20.58,20.81,19.493,19.64,19.64,308700
2021-07-15,19.64,20.72,19.47,20.69,20.69,591500
2021-07-16,20.48,20.61,19.67,19.8,19.8,638000
2021-07-19,19.14,20.7,19.01,20.6,20.6,465495
