Date,Open,High,Low,Close,AdjustedClose,Volume
2021-01-21,40.91,40.91,40.29,40.29,40.29,10700
2021-01-22,40.2,40.55,40.01,40.55,40.55,3300
2021-01-25,41.265,41.29,38.601,39.949,39.949,17400
2021-01-26,39.76,39.885,38.79,39.243,39.243,18100
2021-01-27,37.85,39.58,37.42,38.406,38.406,12800
2021-01-28,38.92,39.36,38.661,38.89,38.89,15000
2021-01-29,37.66,38.09,36.84,37.56,37.56,12600
2021-02-01,37.98,38.04,37.98,38.04,38.04,1400
2021-02-02,39.42,40.39,39.39,40.168,40.168,13500
2021-02-03,40.21,40.21,38.12,38.338,38.338,12200
2021-02-04,38.85,39.7,38.77,39.7,39.7,12800
2021-02-05,40.1,40.25,39.655,39.806,39.806,10200
2021-02-08,40.43,40.912,39.845,40.277,40.277,12000
2021-02-09,40.46,41.49,40.44,41.295,41.295,12100
2021-02-10,40.34,40.901,40.1,40.901,40.901,2000
2021-02-11,41.172,41.172,40.77,40.773,40.773,4900
2021-02-12,40.99,41.334,40.99,41.334,41.334,3200
2021-02-16,41.5,41.5,40.083,40.31,40.31,2400
2021-02-17,39.8,39.8,39.095,39.758,39.758,2300
2021-02-18,39.039,39.64,38.5,39.64,39.64,2000
2021-02-19,40.26,40.3,39.855,40,40,2700
2021-02-22,38.76,38.76,37.67,37.715,37.715,3600
2021-02-23,36.7,36.7,35.107,36.537,36.537,4700
2021-02-24,35.82,36.74,35.82,36.598,36.598,2000
2021-02-25,35.83,35.89,34.13,34.534,34.534,1900
2021-02-26,35.2,35.73,34.526,34.526,34.526,1100
2021-03-01,35.44,36.587,35.44,36.587,36.587,700
2021-03-02,36.535,36.535,36.03,36.03,36.03,900
2021-03-03,35.9,35.9,35.9,35.9,35.9,1100
2021-03-04,32.35,33.24,30.86,31.66,31.66,7100
2021-03-05,30.12,31.514,30.12,31.514,31.514,2300
2021-03-08,32.495,32.495,31.025,31.025,31.025,284
2021-03-09,32.1,33.8692,32.1,33.8692,33.8692,2467
2021-03-10,34.21,34.59,33.65,33.71,33.71,3900
2021-03-11,34.99,35.34,34.99,35.34,35.34,2600
2021-03-12,34.83,34.95,34.66,34.95,34.95,1100
2021-03-15,34.95,34.95,34.95,34.95,34.95,0
2021-03-16,35.67,35.67,34.46,35.003,35.003,2500
2021-03-17,33.92,35.64,33.92,35.258,35.258,2900
2021-03-18,34.48,34.48,33.01,33.01,33.01,900
2021-03-19,33.4,33.76,33.4,33.428,33.428,2100
2021-03-22,34.28,34.28,34.28,34.28,34.28,500
2021-03-23,34.35,34.59,33.968,33.968,33.968,1700
2021-03-24,33.65,33.65,33.65,33.65,33.65,400
2021-03-25,32.17,32.56,31.72,32.56,32.56,1300
2021-03-26,33.01,33.375,33.01,33.375,33.375,200
2021-03-29,33.174,33.19,33.096,33.096,33.096,500
2021-03-30,32.5,32.5,32.44,32.481,32.481,2500
2021-03-31,33.36,33.46,33.36,33.425,33.425,2000
2021-04-01,34.6,34.81,34.07,34.07,34.07,8600
2021-04-05,34.955,35.19,34.955,35.05,35.05,2000
2021-04-06,35.05,35.05,35.05,35.05,35.05,0
2021-04-07,35.77,35.77,34.575,34.575,34.575,2600
2021-04-08,35.78,35.78,35.78,35.78,35.78,300
2021-04-09,35.376,35.729,35.376,35.729,35.729,1100
2021-04-12,35.965,36.02,35.57,35.86,35.86,5000
2021-04-13,37.108,37.69,37.108,37.32,37.32,4600
2021-04-14,37.969,38.11,36.47,36.673,36.673,1800
2021-04-15,37.82,38.12,37.28,37.918,37.918,5100
2021-04-16,37.735,37.735,37.545,37.576,37.576,800
2021-04-19,37.87,37.87,37.18,37.369,37.369,4700
2021-04-20,37.14,37.167,36.07,36.142,36.142,2800
2021-04-21,36.142,36.142,36.142,36.142,36.142,0
2021-04-22,37.085,37.898,36.939,36.939,36.939,3100
2021-04-23,37.42,37.59,36.844,37.41,37.41,6200
2021-04-26,39.138,39.35,39.138,39.35,39.35,1000
2021-04-27,39.31,39.31,38.86,38.86,38.86,600
2021-04-28,38.464,38.464,37.821,37.821,37.821,2200
2021-04-29,37.01,37.492,37.01,37.492,37.492,700
2021-04-30,37.492,37.492,37.492,37.492,37.492,0
2021-05-03,36.5,36.5,36.257,36.257,36.257,2600
2021-05-04,35.12,35.145,34.436,34.97,34.97,1800
2021-05-05,35.03,35.044,34.65,34.65,34.65,600
2021-05-06,34.65,34.65,34.65,34.65,34.65,400
2021-05-07,34.65,34.65,34.65,34.65,34.65,0
2021-05-10,35.98,35.98,34.397,34.397,34.397,4000
2021-05-11,33.85,33.85,33.85,33.85,33.85,700
2021-05-12,34.25,34.25,33.29,33.35,33.35,1900
