Date,Open,High,Low,Close,AdjustedClose,Volume
1993-07-22,15.125,15.125,15,15,15,9000
1993-07-23,15,15.125,15,15,15,15000
1993-07-26,15.125,15.125,15,15.125,15.125,14100
1993-07-27,15.125,15.125,15.125,15.125,15.125,1800
1993-07-28,15.125,15.125,15.125,15.125,15.125,1400
1993-07-29,15.125,15.125,15.125,15.125,15.125,800
1993-07-30,15.125,15.25,15.125,15.25,15.25,5500
1993-08-02,15.125,15.125,15,15,15,8600
1993-08-03,15.125,15.375,15.125,15.375,15.375,20700
1993-08-04,15.375,15.375,15.125,15.125,15.125,6100
1993-08-05,15.25,15.25,15.125,15.25,15.25,10200
1993-08-06,15.125,15.125,15,15,15,3100
1993-08-09,15.125,15.25,15.125,15.125,15.125,6900
1993-08-10,15.125,15.25,15.125,15.125,15.125,9800
1993-08-11,15.125,15.25,15.125,15.25,15.25,5300
1993-08-12,15.25,15.25,15.125,15.125,15.125,2000
1993-08-13,15.25,15.25,15.125,15.25,15.25,11000
1993-08-16,15.125,15.375,15.125,15.375,15.375,6900
1993-08-17,15.375,15.375,15.25,15.375,15.375,3100
1993-08-18,15.5,15.5,15.375,15.375,15.375,9200
1993-08-19,15.5,15.625,15.375,15.625,15.625,17000
1993-08-20,15.375,15.5,15.375,15.5,15.5,11400
1993-08-23,15.625,15.625,15,15.125,15.125,17100
1993-08-24,15.25,15.25,15.125,15.125,15.125,5900
1993-08-25,15.125,15.25,15.125,15.125,15.125,1600
1993-08-26,15.25,15.375,15.25,15.375,15.375,10700
1993-08-27,15.375,15.375,15.375,15.375,15.375,800
1993-08-30,15.375,15.375,15.375,15.375,15.375,600
1993-08-31,15.5,15.5,15.25,15.25,15.25,5900
1993-09-01,15.375,15.375,15.375,15.375,15.375,200
1993-09-02,15.25,15.5,15.25,15.375,15.375,6100
1993-09-03,15.5,15.5,15.5,15.5,15.5,4400
1993-09-07,15.375,15.5,15.375,15.5,15.5,7600
1993-09-08,15.25,15.5,15.25,15.5,15.5,8400
1993-09-09,15.375,15.5,15.375,15.5,15.5,3400
1993-09-10,15.5,15.5,15.375,15.375,15.375,3500
1993-09-13,15.5,15.5,15.375,15.375,15.375,4800
1993-09-14,15.5,15.625,15.5,15.5,15.5,21500
1993-09-16,15.625,15.625,15.5,15.625,15.625,8900
1993-09-17,15.75,15.75,15.375,15.375,15.375,20000
1993-09-20,15.5,15.5,15.375,15.5,15.5,3000
1993-09-21,15.5,15.625,15.5,15.625,15.625,9900
1993-09-22,15.625,15.75,15.5,15.75,15.75,12900
1993-09-23,15.625,15.625,15.5,15.625,15.625,4700
1993-09-24,15.625,15.75,15.625,15.75,15.75,16200
1993-09-27,15.625,15.625,15.625,15.625,15.625,1900
1993-09-28,15.625,15.625,15.5,15.625,15.625,8800
1993-09-29,15.625,15.625,15.5,15.5,15.5,7000
1993-09-30,15.625,15.625,15.5,15.5,15.5,28400
1993-10-01,15.5,15.5,15.5,15.5,15.5,3800
1993-10-04,15.5,15.5,15.375,15.5,15.5,3600
1993-10-05,15.5,15.5,15.5,15.5,15.5,3900
1993-10-06,15.5,15.5,15.25,15.25,15.25,7600
1993-10-07,15.5,15.5,15.375,15.375,15.375,4900
1993-10-08,15.5,15.625,15.5,15.5,15.5,1900
1993-10-11,15.5,15.5,15.5,15.5,15.5,6500
1993-10-12,15.5,15.5,15.375,15.5,15.5,6800
1993-10-13,15.5,15.5,15.25,15.5,15.5,6700
1993-10-14,15.375,15.375,15.25,15.25,15.25,2600
1993-10-15,15.375,15.375,15.375,15.375,15.375,3200
1993-10-18,15.375,15.375,15.25,15.25,15.25,2600
1993-10-19,15.25,15.25,15.25,15.25,15.25,6600
1993-10-20,15.375,15.5,15.375,15.5,15.5,1700
1993-10-21,15.5,15.5,15.25,15.5,15.5,3200
1993-10-22,15.5,15.5,15.375,15.375,15.375,3200
1993-10-25,15.5,15.5,15.25,15.25,15.25,1700
1993-10-26,15.375,15.375,15.375,15.375,15.375,2100
1993-10-27,15.25,15.375,15.25,15.375,15.375,1000
1993-10-28,15.375,15.375,15.25,15.375,15.375,3200
1993-10-29,15.5,15.625,15.5,15.5,15.5,20800
1993-11-01,15.5,15.625,15.5,15.5,15.5,8400
1993-11-02,15.375,15.5,15.375,15.5,15.5,2300
