Date,Open,High,Low,Close,AdjustedClose,Volume
2012-05-10,18.8,18.9,18.32,18.77,18.77,7388830
2012-05-11,18.75,18.9,18.6,18.85,18.85,534085
2012-05-14,18.63,18.93,18.63,18.75,18.75,204365
2012-05-15,18.75,18.85,18.65,18.72,18.72,223888
2012-05-16,18.7,18.85,18.58,18.72,18.72,299846
2012-05-17,18.7,18.7,18.5,18.55,18.55,293794
2012-05-18,18.5,18.67,18.49,18.67,18.67,271670
2012-05-21,18.07,18.75,17.57,18.55,18.55,284980
2012-05-22,18.52,18.6,18.37,18.4,18.4,263648
2012-05-23,18.41,18.99,18.41,18.88,18.88,255535
2012-05-24,19,19.05,18.55,18.86,18.86,180567
2012-05-25,18.86,19.36,18.81,19.2,19.2,258965
2012-05-29,19.25,19.25,18.96,19,19,75359
2012-05-30,18.85,18.98,18.7,18.92,18.92,72474
2012-05-31,18.75,19,18.65,18.8,18.8,71107
2012-06-01,18.57,18.75,18.32,18.52,18.52,104149
2012-06-04,18.75,18.99,18.5601,18.93,18.93,230288
2012-06-05,18.99,18.99,18.53,18.65,18.65,254551
2012-06-06,18.51,18.99,18.51,18.98,18.98,46665
2012-06-07,19.05,19.06,18.7538,19.02,19.02,87821
2012-06-08,19.02,19.19,18.82,19.1,19.1,193272
2012-06-11,19.25,19.25,18.85,18.95,18.95,209350
2012-06-12,18.93,19.165,18.85,19.04,19.04,87769
2012-06-13,18.99,19.01,18.8,18.93,18.93,86138
2012-06-14,18.91,19.13,18.89,18.99,18.99,109542
2012-06-15,19.52,19.52,18.9,19.1,19.1,88236
2012-06-18,19.03,19.2,18.96,19.03,19.03,59481
2012-06-19,19.89,19.89,18.76,19.16,19.16,101692
2012-06-20,19.25,19.25,18.75,19.2,19.2,76832
2012-06-21,19.04,19.26,18.92,19.02,19.02,156150
2012-06-22,19.18,19.2627,18.8,19.11,19.11,991474
2012-06-25,19.14,19.35,18.95,19.13,19.13,134703
2012-06-26,19.16,19.32,18.9,19.18,19.18,104398
2012-06-27,19.23,19.31,19.0899,19.22,19.22,119851
2012-06-28,19.16,19.37,18.75,19.24,19.24,445285
2012-06-29,19.46,19.52,19.33,19.49,19.49,156906
2012-07-02,19.5,19.9,19.25,19.51,19.51,253857
2012-07-03,19.52,19.87,19.52,19.86,19.86,65720
2012-07-05,19.86,20,19.74,19.93,19.93,157983
2012-07-06,19.85,19.98,19.8,19.91,19.91,51135
2012-07-09,19.95,19.95,19.67,19.89,19.89,74607
2012-07-10,19.95,20,19.7,19.8,19.8,136681
2012-07-11,19.88,19.88,19.46,19.59,19.59,206402
2012-07-12,19.47,19.8,19.47,19.5,19.5,343060
2012-07-13,19.5,19.9391,19.5,19.89,19.89,152076
2012-07-16,19.91,20,19.81,19.94,19.94,72367
2012-07-17,20,20.03,19.82,19.83,19.83,116157
2012-07-18,19.82,20.03,19.82,19.97,19.97,87447
2012-07-19,19.98,19.98,19.61,19.76,19.76,86236
2012-07-20,19.73,19.98,19.73,19.96,19.96,83807
2012-07-23,19.96,19.98,19.77,19.84,19.84,65623
2012-07-24,19.93,19.93,19.56,19.62,19.62,102848
2012-07-25,19.73,19.85,19.65,19.68,19.68,102134
2012-07-26,19.71,19.78,19.63,19.73,19.73,57965
2012-07-27,19.85,20.33,19.85,20.02,20.02,452830
2012-07-30,20.02,20.23,20.02,20.14,20.14,202856
2012-07-31,20.32,20.74,20.15,20.42,20.42,433336
2012-08-01,20.37,20.65,20.35,20.41,20.41,304480
2012-08-02,20,20.39,20,20.06,20.06,204560
2012-08-03,20.2,20.54,20.01,20.38,20.38,209384
2012-08-06,20.39,20.56,20.13,20.13,20.13,262122
2012-08-07,20.19,20.27,19.85,20,20,226905
2012-08-08,19.95,20.47,19.92,20.41,20.41,206747
2012-08-09,20.35,20.45,20.12,20.33,20.33,108470
2012-08-10,20.41,20.42,19.89,19.98,19.98,127277
2012-08-13,19.98,20.23,19.94,20.21,20.21,84738
2012-08-14,20.45,20.97,20.3,20.6,20.6,415026
2012-08-15,20.64,20.9,20.54,20.8,20.8,232268
2012-08-16,20.8,20.948,20.66,20.8,20.8,164173
2012-08-17,20.84,20.87,20.41,20.76,20.76,106920
2012-08-20,20.9,21.37,20.78,21.06,21.06,589426
2012-08-21,21.25,21.32,20.77,20.81,20.81,243735
2012-08-22,20.88,21.05,20.48,20.94,20.94,248440
2012-08-23,21.03,21.03,20.7,20.77,20.77,112590
2012-08-24,21.03,21.09,20.91,20.92,20.92,141181
2012-08-27,21.03,21.1374,20.9701,21.08,21.08,148870
2012-08-28,21.1,21.29,21.02,21.15,21.15,144457
2012-08-29,21.15,21.22,21.1,21.22,21.22,146769
2012-08-30,21.19,21.844,21.17,21.69,21.69,327938
2012-08-31,21.85,21.85,21.4,21.44,21.44,121271
2012-09-04,21.37,21.517,21.25,21.46,21.46,181778
2012-09-05,21.52,21.52,21.1801,21.2,21.2,100844
2012-09-06,21.25,21.33,21.17,21.33,21.33,65153
2012-09-07,21.45,21.45,21.26,21.35,21.35,116421
2012-09-10,21.45,21.47,21.2676,21.35,21.35,56851
2012-09-11,21.7,21.7,21.35,21.52,21.52,90032
2012-09-12,21.34,21.65,21.17,21.56,21.56,169691
2012-09-13,21.66,21.71,21.26,21.39,21.39,221058
2012-09-14,21.53,21.98,21.385,21.97,21.97,298320
2012-09-17,21.98,22.1,21.8,22.04,22.04,261731
2012-09-18,22.04,22.08,21.55,21.58,21.58,218868
2012-09-19,21.71,22.13,21.54,22.04,22.04,265057
2012-09-20,22.15,22.69,22.1,22.3,22.3,317851
2012-09-21,24.17,24.46,23.58,24.1,24.1,1680567
2012-09-24,24.2,24.69,24.2,24.45,24.45,552003
2012-09-25,24.58,24.72,24.01,24.06,24.06,490277
2012-09-26,24.19,24.24,23.75,23.9,23.9,540185
2012-09-27,23.2,23.38,22.96,23,23,796866
2012-09-28,22.36,22.41,22.2,22.2,22.2,6957131
2012-10-01,22.31,22.39,22.27,22.3,22.3,1084021
2012-10-02,22.32,22.45,22.25,22.29,22.29,1123655
2012-10-03,22.3,22.44,22.3,22.37,22.37,606257
2012-10-04,22.43,22.62,22.4,22.6,22.6,753341
2012-10-05,22.65,22.8,22.61,22.72,22.72,560210
2012-10-08,22.6,22.84,22.5,22.71,22.71,469504
2012-10-09,22.75,22.84,22.5,22.68,22.68,716701
2012-10-10,22.65,22.65,21.62,21.97,21.97,1890473
2012-10-11,22.08,22.22,21.88,21.9,21.9,526596
2012-10-12,21.92,21.97,21.07,21.15,21.15,1288332
2012-10-15,21.12,21.69,19.68,21.05,21.05,2043376
2012-10-16,21.18,21.415,20.8,21.32,21.32,698058
2012-10-17,21.39,21.95,21.3,21.87,21.87,731221
2012-10-18,22.13,22.13,21.72,21.83,21.83,396437
2012-10-19,21.89,21.89,21.37,21.67,21.67,449502
2012-10-22,21.62,21.67,21.4717,21.65,21.65,211944
2012-10-23,21.65,21.65,21.1,21.39,21.39,216451
