Date,Open,High,Low,Close,AdjustedClose,Volume
1980-03-17,33,35.501,33,33,33,13100
1980-03-18,34.751,34.751,32.75,34.751,34.751,10600
1980-03-19,35.25,36,35.25,35.25,35.25,14300
1980-03-20,35,35.75,34.751,35,35,5500
1980-03-21,33.75,34.625,33.75,33.75,33.75,5500
1980-03-24,30.5,33.5,30.5,30.5,30.5,15200
1980-03-25,30.75,31.751,30.5,30.75,30.75,14600
1980-03-26,30.5,30.875,30.5,30.5,30.5,9400
1980-03-27,29,30.5,27.251,29,29,17700
1980-03-28,30,30,29,30,30,22900
1980-03-31,29.876,30.251,29.625,29.876,29.876,9600
1980-04-01,30.75,31.001,30.125,30.75,30.75,37200
1980-04-02,33.375,33.375,31.125,33.375,33.375,9400
1980-04-03,34.125,35,34.001,34.125,34.125,11300
1980-04-07,33.626,34.001,33.626,33.626,33.626,13300
1980-04-08,34.125,34.125,33.251,34.125,34.125,6700
1980-04-09,35.25,35.25,34.001,35.25,35.25,11800
1980-04-10,35.876,36,35.501,35.876,35.876,5600
1980-04-11,34.751,36,34.751,34.751,34.751,19300
1980-04-14,34.5,34.625,34.125,34.5,34.5,6200
1980-04-15,33.75,34.001,33.5,33.75,33.75,1500
1980-04-16,33.251,33.75,33.251,33.251,33.251,9800
1980-04-17,32.75,33,32.501,32.75,32.75,12200
1980-04-18,32.876,33.125,32.876,32.876,32.876,2000
1980-04-21,32.876,32.876,32.75,32.876,32.876,3900
1980-04-22,34.625,34.625,32.25,34.625,34.625,18900
1980-04-23,33,34.25,33,33,33,20300
1980-04-24,34.001,34.001,33.125,34.001,34.001,3900
1980-04-25,33.875,34.25,33.626,33.875,33.875,4800
1980-04-28,33.75,34.001,33.75,33.75,33.75,2500
1980-04-29,34.376,34.376,34.001,34.376,34.376,2600
1980-04-30,35,35.25,34.5,35,35,4400
1980-05-01,34.751,35.501,34.751,34.751,34.751,3000
1980-05-02,32.876,33.75,32.75,32.876,32.876,6700
1980-05-05,33.75,33.75,32.75,33.75,33.75,18000
1980-05-06,33.75,33.875,33.251,33.75,33.75,11400
1980-05-07,34.25,34.25,33.75,34.25,34.25,8000
1980-05-08,33.5,35,33,33.5,33.5,7700
1980-05-09,33.251,33.5,33,33.251,33.251,2300
1980-05-12,32.75,33.125,32.375,32.75,32.75,8800
1980-05-13,32.876,33.251,32.501,32.876,32.876,8700
1980-05-14,33.626,34.001,32.876,33.626,33.626,6000
1980-05-15,33.375,33.75,33.251,33.375,33.375,2500
1980-05-16,32.75,33.251,32.75,32.75,32.75,32100
1980-05-19,32.75,32.75,32.501,32.75,32.75,5800
1980-05-20,32,32.625,32,32,32,9300
1980-05-21,31.751,32,31.625,31.751,31.751,5700
1980-05-22,31.5,31.751,31.5,31.5,31.5,5900
1980-05-23,31.001,31.25,30.75,31.001,31.001,46500
1980-05-27,30.5,31.001,30.251,30.5,30.5,41300
1980-05-28,33,33.251,30.626,33,33,48600
1980-05-29,32,34.751,31.001,32,32,127400
1980-05-30,31.751,32.25,31.25,31.751,31.751,11500
1980-06-02,32.625,32.876,31.25,32.625,32.625,41600
1980-06-03,32.501,32.75,32.25,32.501,32.501,19200
1980-06-04,33,33,32.126,33,33,12200
1980-06-05,33.251,33.251,32.876,33.251,33.251,30900
1980-06-06,33.251,33.375,33.125,33.251,33.251,22300
1980-06-09,33.125,33.375,32.625,33.125,33.125,9100
1980-06-10,33.375,33.375,32.501,33.375,33.375,9500
1980-06-11,33.5,33.5,32.876,33.5,33.5,8000
1980-06-12,33.5,33.875,33.5,33.5,33.5,10400
1980-06-13,35.501,35.501,33.75,35.501,35.501,17400
1980-06-16,35.625,36,35.375,35.625,35.625,15500
1980-06-17,37.001,37.001,36,37.001,37.001,54800
1980-06-18,37.25,37.5,36.626,37.25,37.25,10300
1980-06-19,36.75,37.25,36.5,36.75,36.75,17300
1980-06-20,36.125,36.5,36.125,36.125,36.125,6600
1980-06-23,36,36.125,35.625,36,36,6500
1980-06-24,35.75,35.75,35.501,35.75,35.75,6700
1980-06-25,36.875,37.001,35.501,36.875,36.875,9800
1980-06-26,37.376,37.376,36.75,37.376,37.376,13100
1980-06-27,36.75,37.001,36.75,36.75,36.75,3100
